,position,occluder,fruit,occluderSize,status,occluderFile,fruitFile
0,1,occluder0,apple,full,experiment,occluder0_full.png,apple_1.png
1,1,occluder1,apple,large,experiment,occluder1_large.png,apple_1.png
2,1,occluder1,apple,medium,experiment,occluder1_medium.png,apple_1.png
3,1,occluder1,apple,small,experiment,occluder1_small.png,apple_1.png
4,1,occluder2,apple,large,experiment,occluder2_large.png,apple_1.png
5,1,occluder2,apple,medium,experiment,occluder2_medium.png,apple_1.png
6,1,occluder2,apple,small,experiment,occluder2_small.png,apple_1.png
7,1,occluder3,apple,large,experiment,occluder3_large.png,apple_1.png
8,1,occluder3,apple,medium,experiment,occluder3_medium.png,apple_1.png
9,1,occluder3,apple,small,experiment,occluder3_small.png,apple_1.png
10,1,occluder0,lemon,full,experiment,occluder0_full.png,lemon_1.png
11,1,occluder1,lemon,large,experiment,occluder1_large.png,lemon_1.png
12,1,occluder1,lemon,medium,experiment,occluder1_medium.png,lemon_1.png
13,1,occluder1,lemon,small,experiment,occluder1_small.png,lemon_1.png
14,1,occluder2,lemon,large,experiment,occluder2_large.png,lemon_1.png
15,1,occluder2,lemon,medium,experiment,occluder2_medium.png,lemon_1.png
16,1,occluder2,lemon,small,experiment,occluder2_small.png,lemon_1.png
17,1,occluder3,lemon,large,experiment,occluder3_large.png,lemon_1.png
18,1,occluder3,lemon,medium,experiment,occluder3_medium.png,lemon_1.png
19,1,occluder3,lemon,small,experiment,occluder3_small.png,lemon_1.png
20,1,occluder0,pear,full,experiment,occluder0_full.png,pear_1.png
21,1,occluder1,pear,large,experiment,occluder1_large.png,pear_1.png
22,1,occluder1,pear,medium,experiment,occluder1_medium.png,pear_1.png
23,1,occluder1,pear,small,experiment,occluder1_small.png,pear_1.png
24,1,occluder2,pear,large,experiment,occluder2_large.png,pear_1.png
25,1,occluder2,pear,medium,experiment,occluder2_medium.png,pear_1.png
26,1,occluder2,pear,small,experiment,occluder2_small.png,pear_1.png
27,1,occluder3,pear,large,experiment,occluder3_large.png,pear_1.png
28,1,occluder3,pear,medium,experiment,occluder3_medium.png,pear_1.png
29,1,occluder3,pear,small,experiment,occluder3_small.png,pear_1.png
30,2,occluder0,apple,full,experiment,occluder0_full.png,apple_2.png
31,2,occluder1,apple,large,experiment,occluder1_large.png,apple_2.png
32,2,occluder1,apple,medium,experiment,occluder1_medium.png,apple_2.png
33,2,occluder1,apple,small,experiment,occluder1_small.png,apple_2.png
34,2,occluder2,apple,large,experiment,occluder2_large.png,apple_2.png
35,2,occluder2,apple,medium,experiment,occluder2_medium.png,apple_2.png
36,2,occluder2,apple,small,experiment,occluder2_small.png,apple_2.png
37,2,occluder3,apple,large,experiment,occluder3_large.png,apple_2.png
38,2,occluder3,apple,medium,experiment,occluder3_medium.png,apple_2.png
39,2,occluder3,apple,small,experiment,occluder3_small.png,apple_2.png
40,2,occluder0,lemon,full,experiment,occluder0_full.png,lemon_2.png
41,2,occluder1,lemon,large,experiment,occluder1_large.png,lemon_2.png
42,2,occluder1,lemon,medium,experiment,occluder1_medium.png,lemon_2.png
43,2,occluder1,lemon,small,experiment,occluder1_small.png,lemon_2.png
44,2,occluder2,lemon,large,experiment,occluder2_large.png,lemon_2.png
45,2,occluder2,lemon,medium,experiment,occluder2_medium.png,lemon_2.png
46,2,occluder2,lemon,small,experiment,occluder2_small.png,lemon_2.png
47,2,occluder3,lemon,large,experiment,occluder3_large.png,lemon_2.png
48,2,occluder3,lemon,medium,experiment,occluder3_medium.png,lemon_2.png
49,2,occluder3,lemon,small,experiment,occluder3_small.png,lemon_2.png
50,2,occluder0,pear,full,experiment,occluder0_full.png,pear_2.png
51,2,occluder1,pear,large,experiment,occluder1_large.png,pear_2.png
52,2,occluder1,pear,medium,experiment,occluder1_medium.png,pear_2.png
53,2,occluder1,pear,small,experiment,occluder1_small.png,pear_2.png
54,2,occluder2,pear,large,experiment,occluder2_large.png,pear_2.png
55,2,occluder2,pear,medium,experiment,occluder2_medium.png,pear_2.png
56,2,occluder2,pear,small,experiment,occluder2_small.png,pear_2.png
57,2,occluder3,pear,large,experiment,occluder3_large.png,pear_2.png
58,2,occluder3,pear,medium,experiment,occluder3_medium.png,pear_2.png
59,2,occluder3,pear,small,experiment,occluder3_small.png,pear_2.png
60,3,occluder0,apple,full,experiment,occluder0_full.png,apple_3.png
61,3,occluder1,apple,large,experiment,occluder1_large.png,apple_3.png
62,3,occluder1,apple,medium,experiment,occluder1_medium.png,apple_3.png
63,3,occluder1,apple,small,experiment,occluder1_small.png,apple_3.png
64,3,occluder2,apple,large,experiment,occluder2_large.png,apple_3.png
65,3,occluder2,apple,medium,experiment,occluder2_medium.png,apple_3.png
66,3,occluder2,apple,small,experiment,occluder2_small.png,apple_3.png
67,3,occluder3,apple,large,experiment,occluder3_large.png,apple_3.png
68,3,occluder3,apple,medium,experiment,occluder3_medium.png,apple_3.png
69,3,occluder3,apple,small,experiment,occluder3_small.png,apple_3.png
70,3,occluder0,lemon,full,experiment,occluder0_full.png,lemon_3.png
71,3,occluder1,lemon,large,experiment,occluder1_large.png,lemon_3.png
72,3,occluder1,lemon,medium,experiment,occluder1_medium.png,lemon_3.png
73,3,occluder1,lemon,small,experiment,occluder1_small.png,lemon_3.png
74,3,occluder2,lemon,large,experiment,occluder2_large.png,lemon_3.png
75,3,occluder2,lemon,medium,experiment,occluder2_medium.png,lemon_3.png
76,3,occluder2,lemon,small,experiment,occluder2_small.png,lemon_3.png
77,3,occluder3,lemon,large,experiment,occluder3_large.png,lemon_3.png
78,3,occluder3,lemon,medium,experiment,occluder3_medium.png,lemon_3.png
79,3,occluder3,lemon,small,experiment,occluder3_small.png,lemon_3.png
80,3,occluder0,pear,full,experiment,occluder0_full.png,pear_3.png
81,3,occluder1,pear,large,experiment,occluder1_large.png,pear_3.png
82,3,occluder1,pear,medium,experiment,occluder1_medium.png,pear_3.png
83,3,occluder1,pear,small,experiment,occluder1_small.png,pear_3.png
84,3,occluder2,pear,large,experiment,occluder2_large.png,pear_3.png
85,3,occluder2,pear,medium,experiment,occluder2_medium.png,pear_3.png
86,3,occluder2,pear,small,experiment,occluder2_small.png,pear_3.png
87,3,occluder3,pear,large,experiment,occluder3_large.png,pear_3.png
88,3,occluder3,pear,medium,experiment,occluder3_medium.png,pear_3.png
89,3,occluder3,pear,small,experiment,occluder3_small.png,pear_3.png
90,4,occluder0,apple,full,experiment,occluder0_full.png,apple_4.png
91,4,occluder1,apple,large,experiment,occluder1_large.png,apple_4.png
92,4,occluder1,apple,medium,experiment,occluder1_medium.png,apple_4.png
93,4,occluder1,apple,small,experiment,occluder1_small.png,apple_4.png
94,4,occluder2,apple,large,experiment,occluder2_large.png,apple_4.png
95,4,occluder2,apple,medium,experiment,occluder2_medium.png,apple_4.png
96,4,occluder2,apple,small,experiment,occluder2_small.png,apple_4.png
97,4,occluder3,apple,large,experiment,occluder3_large.png,apple_4.png
98,4,occluder3,apple,medium,experiment,occluder3_medium.png,apple_4.png
99,4,occluder3,apple,small,experiment,occluder3_small.png,apple_4.png
100,4,occluder0,lemon,full,experiment,occluder0_full.png,lemon_4.png
101,4,occluder1,lemon,large,experiment,occluder1_large.png,lemon_4.png
102,4,occluder1,lemon,medium,experiment,occluder1_medium.png,lemon_4.png
103,4,occluder1,lemon,small,experiment,occluder1_small.png,lemon_4.png
104,4,occluder2,lemon,large,experiment,occluder2_large.png,lemon_4.png
105,4,occluder2,lemon,medium,experiment,occluder2_medium.png,lemon_4.png
106,4,occluder2,lemon,small,experiment,occluder2_small.png,lemon_4.png
107,4,occluder3,lemon,large,experiment,occluder3_large.png,lemon_4.png
108,4,occluder3,lemon,medium,experiment,occluder3_medium.png,lemon_4.png
109,4,occluder3,lemon,small,experiment,occluder3_small.png,lemon_4.png
110,4,occluder0,pear,full,experiment,occluder0_full.png,pear_4.png
111,4,occluder1,pear,large,experiment,occluder1_large.png,pear_4.png
112,4,occluder1,pear,medium,experiment,occluder1_medium.png,pear_4.png
113,4,occluder1,pear,small,experiment,occluder1_small.png,pear_4.png
114,4,occluder2,pear,large,experiment,occluder2_large.png,pear_4.png
115,4,occluder2,pear,medium,experiment,occluder2_medium.png,pear_4.png
116,4,occluder2,pear,small,experiment,occluder2_small.png,pear_4.png
117,4,occluder3,pear,large,experiment,occluder3_large.png,pear_4.png
118,4,occluder3,pear,medium,experiment,occluder3_medium.png,pear_4.png
119,4,occluder3,pear,small,experiment,occluder3_small.png,pear_4.png
120,5,occluder0,apple,full,experiment,occluder0_full.png,apple_5.png
121,5,occluder1,apple,large,experiment,occluder1_large.png,apple_5.png
122,5,occluder1,apple,medium,experiment,occluder1_medium.png,apple_5.png
123,5,occluder1,apple,small,experiment,occluder1_small.png,apple_5.png
124,5,occluder2,apple,large,experiment,occluder2_large.png,apple_5.png
125,5,occluder2,apple,medium,experiment,occluder2_medium.png,apple_5.png
126,5,occluder2,apple,small,experiment,occluder2_small.png,apple_5.png
127,5,occluder3,apple,large,experiment,occluder3_large.png,apple_5.png
128,5,occluder3,apple,medium,experiment,occluder3_medium.png,apple_5.png
129,5,occluder3,apple,small,experiment,occluder3_small.png,apple_5.png
130,5,occluder0,lemon,full,experiment,occluder0_full.png,lemon_5.png
131,5,occluder1,lemon,large,experiment,occluder1_large.png,lemon_5.png
132,5,occluder1,lemon,medium,experiment,occluder1_medium.png,lemon_5.png
133,5,occluder1,lemon,small,experiment,occluder1_small.png,lemon_5.png
134,5,occluder2,lemon,large,experiment,occluder2_large.png,lemon_5.png
135,5,occluder2,lemon,medium,experiment,occluder2_medium.png,lemon_5.png
136,5,occluder2,lemon,small,experiment,occluder2_small.png,lemon_5.png
137,5,occluder3,lemon,large,experiment,occluder3_large.png,lemon_5.png
138,5,occluder3,lemon,medium,experiment,occluder3_medium.png,lemon_5.png
139,5,occluder3,lemon,small,experiment,occluder3_small.png,lemon_5.png
140,5,occluder0,pear,full,experiment,occluder0_full.png,pear_5.png
141,5,occluder1,pear,large,experiment,occluder1_large.png,pear_5.png
142,5,occluder1,pear,medium,experiment,occluder1_medium.png,pear_5.png
143,5,occluder1,pear,small,experiment,occluder1_small.png,pear_5.png
144,5,occluder2,pear,large,experiment,occluder2_large.png,pear_5.png
145,5,occluder2,pear,medium,experiment,occluder2_medium.png,pear_5.png
146,5,occluder2,pear,small,experiment,occluder2_small.png,pear_5.png
147,5,occluder3,pear,large,experiment,occluder3_large.png,pear_5.png
148,5,occluder3,pear,medium,experiment,occluder3_medium.png,pear_5.png
149,5,occluder3,pear,small,experiment,occluder3_small.png,pear_5.png
150,6,occluder0,apple,full,experiment,occluder0_full.png,apple_6.png
151,6,occluder1,apple,large,experiment,occluder1_large.png,apple_6.png
152,6,occluder1,apple,medium,experiment,occluder1_medium.png,apple_6.png
153,6,occluder1,apple,small,experiment,occluder1_small.png,apple_6.png
154,6,occluder2,apple,large,experiment,occluder2_large.png,apple_6.png
155,6,occluder2,apple,medium,experiment,occluder2_medium.png,apple_6.png
156,6,occluder2,apple,small,experiment,occluder2_small.png,apple_6.png
157,6,occluder3,apple,large,experiment,occluder3_large.png,apple_6.png
158,6,occluder3,apple,medium,experiment,occluder3_medium.png,apple_6.png
159,6,occluder3,apple,small,experiment,occluder3_small.png,apple_6.png
160,6,occluder0,lemon,full,experiment,occluder0_full.png,lemon_6.png
161,6,occluder1,lemon,large,experiment,occluder1_large.png,lemon_6.png
162,6,occluder1,lemon,medium,experiment,occluder1_medium.png,lemon_6.png
163,6,occluder1,lemon,small,experiment,occluder1_small.png,lemon_6.png
164,6,occluder2,lemon,large,experiment,occluder2_large.png,lemon_6.png
165,6,occluder2,lemon,medium,experiment,occluder2_medium.png,lemon_6.png
166,6,occluder2,lemon,small,experiment,occluder2_small.png,lemon_6.png
167,6,occluder3,lemon,large,experiment,occluder3_large.png,lemon_6.png
168,6,occluder3,lemon,medium,experiment,occluder3_medium.png,lemon_6.png
169,6,occluder3,lemon,small,experiment,occluder3_small.png,lemon_6.png
170,6,occluder0,pear,full,experiment,occluder0_full.png,pear_6.png
171,6,occluder1,pear,large,experiment,occluder1_large.png,pear_6.png
172,6,occluder1,pear,medium,experiment,occluder1_medium.png,pear_6.png
173,6,occluder1,pear,small,experiment,occluder1_small.png,pear_6.png
174,6,occluder2,pear,large,experiment,occluder2_large.png,pear_6.png
175,6,occluder2,pear,medium,experiment,occluder2_medium.png,pear_6.png
176,6,occluder2,pear,small,experiment,occluder2_small.png,pear_6.png
177,6,occluder3,pear,large,experiment,occluder3_large.png,pear_6.png
178,6,occluder3,pear,medium,experiment,occluder3_medium.png,pear_6.png
179,6,occluder3,pear,small,experiment,occluder3_small.png,pear_6.png
